Source;Target;Type;Weight
1;2;Undirected;-0.641095
4;5;Undirected;3.125441
4;6;Undirected;-0.875954
5;6;Undirected;-1.170175
6;7;Undirected;-0.276135
8;9;Undirected;1.403684
12;13;Undirected;2.734978
12;14;Undirected;0.670539
13;14;Undirected;0.538686
14;15;Undirected;-0.042349
14;16;Undirected;0.480211
14;17;Undirected;0.029636
15;16;Undirected;-0.671559
16;17;Undirected;0.032754
18;19;Undirected;-0.500015
20;21;Undirected;2.522211
20;22;Undirected;1.885464
21;22;Undirected;2.824851
24;25;Undirected;0.375825
26;27;Undirected;-0.746738
29;30;Undirected;0.917364
29;31;Undirected;0.544331
30;31;Undirected;1.543244
32;33;Undirected;0.844026
34;35;Undirected;0.430126
37;38;Undirected;-0.542866
37;39;Undirected;0.738296
38;39;Undirected;-0.282931
40;41;Undirected;0.722431
40;42;Undirected;1.102297
41;42;Undirected;0.491540
43;44;Undirected;-0.426140
44;45;Undirected;0.658184
45;46;Undirected;0.124980
45;47;Undirected;0.092462
45;48;Undirected;0.018100
46;47;Undirected;2.419565
46;48;Undirected;1.036663
46;49;Undirected;0.422208
47;48;Undirected;1.335108
47;49;Undirected;0.416763
48;49;Undirected;1.758803
50;51;Undirected;0.466430
50;52;Undirected;-0.938513
50;53;Undirected;0.015254
51;52;Undirected;-0.908659
51;53;Undirected;0.744310
51;54;Undirected;-0.006021
52;53;Undirected;-0.666189
53;54;Undirected;0.460869
55;56;Undirected;-0.710604
58;59;Undirected;1.101634
58;60;Undirected;0.107323
58;61;Undirected;0.070774
58;62;Undirected;-0.012753
59;60;Undirected;0.018700
60;61;Undirected;2.790623
60;62;Undirected;-0.975285
60;63;Undirected;1.148227
60;64;Undirected;0.573269
60;65;Undirected;-0.405915
61;62;Undirected;-1.023600
61;63;Undirected;0.931966
61;64;Undirected;0.454075
61;65;Undirected;-0.470646
62;63;Undirected;-0.843873
62;64;Undirected;-0.967652
62;65;Undirected;0.979378
63;64;Undirected;0.878983
63;65;Undirected;-0.804363
64;65;Undirected;-0.845327
66;67;Undirected;-0.002952
68;69;Undirected;2.949538
70;71;Undirected;-0.159331
71;72;Undirected;1.281089
71;73;Undirected;1.875847
71;74;Undirected;0.591228
71;75;Undirected;0.240698
72;73;Undirected;2.314270
72;74;Undirected;0.857862
72;75;Undirected;0.344086
73;74;Undirected;0.796645
73;75;Undirected;0.285768
74;75;Undirected;0.531342
75;76;Undirected;0.250403
76;77;Undirected;0.036452
