@RELATION PETS20Adj
 
@ATTRIBUTE V1 NUMERIC
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE V9 NUMERIC
@ATTRIBUTE V10 NUMERIC
@ATTRIBUTE V11 NUMERIC
@ATTRIBUTE V12 NUMERIC
@ATTRIBUTE V13 NUMERIC
@ATTRIBUTE V14 NUMERIC
@ATTRIBUTE V15 NUMERIC
@ATTRIBUTE V16 NUMERIC
@ATTRIBUTE V17 NUMERIC
@ATTRIBUTE V18 NUMERIC
@ATTRIBUTE V19 NUMERIC

@DATA
0,-0.0032004,-0.00029202,-0.072406,0.0010375,0.084255,8.175e-09,0.0012537,-0.010166,-0.00012015,-2.4676e-06,-2.4927e-06,0.10173,0.10038,0,0,9.0336e-12,0.00046976,0
-0.0032004,0,-0.06036,-0.00051073,-0.014308,0.012661,-0.0014573,-0.01867,-0.0012067,0.015241,0,0,0,0,0,0,0,0.013259,0
-0.00029202,-0.06036,0,0.017239,0.039916,-0.0062783,0.00050694,0.00019668,0,0.00033694,0,0,0,0,0,0,0,1.0982e-05,0
-0.072406,-0.00051073,0.017239,0,0.0060031,0.0016742,-1.2704e-05,-0.002093,-2.3559e-13,0.0010236,0,0,0,0,0,0,0,0.0026616,0
0.0010375,-0.014308,0.039916,0.0060031,0,-0.00046806,-1.3247e-05,-0.14286,0,1.7268e-05,0,0,0,0,0,0,0,-0.0017639,0
0.084255,0.012661,-0.0062783,0.0016742,-0.00046806,0,-0.00031932,3.039e-05,0,0,0,0,0,0,0,0,0,1.3725e-05,0
8.175e-09,-0.0014573,0.00050694,-1.2704e-05,-1.3247e-05,-0.00031932,0,0.00041844,0,0,0,0,0,0,0,0,0,0,0
0.0012537,-0.01867,0.00019668,-0.002093,-0.14286,3.039e-05,0.00041844,0,0,0,0,0,0,0,0,0,0,0,0
-0.010166,-0.0012067,0,-2.3559e-13,0,0,0,0,0,-0.15288,0.026203,0.03685,0.0081219,-0.05363,-0.22896,-0.0017769,-0.00012321,-3.4331e-09,0.0052854
-0.00012015,0.015241,0.00033694,0.0010236,1.7268e-05,0,0,0,-0.15288,0,0,0,0,0,0,0,0,0.00038958,0
-2.4676e-06,0,0,0,0,0,0,0,0.026203,0,0,2.0803,0.2299,1.4361e-05,0.01284,1.343e-11,0.00025979,0,2.8633e-05
-2.4927e-06,0,0,0,0,0,0,0,0.03685,0,2.0803,0,0.23752,1.602e-06,0.0268,5.9789e-12,0.00027486,0,4.9805e-06
0.10173,0,0,0,0,0,0,0,0.0081219,0,0.2299,0.23752,0,0.087168,-0.00042922,4.4512e-05,0.0048295,0,5.1368e-07
0.10038,0,0,0,0,0,0,0,-0.05363,0,1.4361e-05,1.602e-06,0.087168,0,0,0,1.5942e-10,0,0
0,0,0,0,0,0,0,0,-0.22896,0,0.01284,0.0268,-0.00042922,0,0,-0.00098336,-0.00050948,0,-0.0055076
0,0,0,0,0,0,0,0,-0.0017769,0,1.343e-11,5.9789e-12,4.4512e-05,0,-0.00098336,0,0.099728,0,-0.10016
9.0336e-12,0,0,0,0,0,0,0,-0.00012321,0,0.00025979,0.00027486,0.0048295,1.5942e-10,-0.00050948,0.099728,0,0,-0.037058
0.00046976,0.013259,1.0982e-05,0.0026616,-0.0017639,1.3725e-05,0,0,-3.4331e-09,0.00038958,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0052854,0,2.8633e-05,4.9805e-06,5.1368e-07,0,-0.0055076,-0.10016,-0.037058,0,0
