Source;Target;Type;Weight
1;2;Undirected;0.107932
1;3;Undirected;0.065624
1;4;Undirected;0.070898
1;5;Undirected;0.070800
1;6;Undirected;0.072573
1;7;Undirected;0.071844
1;8;Undirected;0.072173
1;9;Undirected;0.082688
1;10;Undirected;0.071015
1;11;Undirected;0.072021
1;12;Undirected;0.072016
1;13;Undirected;0.121977
1;14;Undirected;0.113944
1;15;Undirected;0.072005
1;16;Undirected;0.072005
1;17;Undirected;0.072005
1;18;Undirected;0.068495
1;19;Undirected;0.072005
2;4;Undirected;0.069056
2;5;Undirected;0.096601
2;6;Undirected;0.081277
2;7;Undirected;0.071427
2;8;Undirected;0.055977
2;9;Undirected;0.053029
2;10;Undirected;0.083936
2;11;Undirected;0.072005
2;12;Undirected;0.072005
2;13;Undirected;0.072005
2;14;Undirected;0.072005
2;15;Undirected;0.072005
2;16;Undirected;0.072005
2;17;Undirected;0.072005
2;18;Undirected;0.073707
2;19;Undirected;0.072005
3;4;Undirected;0.075835
3;5;Undirected;0.079513
3;6;Undirected;0.062199
3;7;Undirected;0.072018
3;8;Undirected;0.071849
3;9;Undirected;0.072005
3;10;Undirected;0.072037
3;11;Undirected;0.072005
3;12;Undirected;0.072005
3;13;Undirected;0.072005
3;14;Undirected;0.072005
3;15;Undirected;0.072005
3;16;Undirected;0.072005
3;17;Undirected;0.072005
3;18;Undirected;0.071379
3;19;Undirected;0.072005
4;5;Undirected;0.066348
4;6;Undirected;0.070435
4;7;Undirected;0.071872
4;8;Undirected;0.066262
4;9;Undirected;0.072005
4;10;Undirected;0.074472
4;11;Undirected;0.072005
4;12;Undirected;0.072005
4;13;Undirected;0.072005
4;14;Undirected;0.072005
4;15;Undirected;0.072005
4;16;Undirected;0.072005
4;17;Undirected;0.072005
4;18;Undirected;0.072318
4;19;Undirected;0.072005
5;6;Undirected;0.067367
5;7;Undirected;0.071995
5;8;Undirected;0.067838
5;9;Undirected;0.072005
5;10;Undirected;0.072005
5;11;Undirected;0.072005
5;12;Undirected;0.072005
5;13;Undirected;0.072005
5;14;Undirected;0.072005
5;15;Undirected;0.072005
5;16;Undirected;0.072005
5;17;Undirected;0.072005
5;18;Undirected;0.068971
5;19;Undirected;0.072005
6;7;Undirected;0.072004
6;8;Undirected;0.071946
6;9;Undirected;0.072005
6;10;Undirected;0.072005
6;11;Undirected;0.072005
6;12;Undirected;0.072005
6;13;Undirected;0.072005
6;14;Undirected;0.072005
6;15;Undirected;0.072005
6;16;Undirected;0.072005
6;17;Undirected;0.072005
6;18;Undirected;0.072005
6;19;Undirected;0.072005
7;8;Undirected;0.073324
7;9;Undirected;0.072005
7;10;Undirected;0.072005
7;11;Undirected;0.072005
7;12;Undirected;0.072005
7;13;Undirected;0.072005
7;14;Undirected;0.072005
7;15;Undirected;0.072005
7;16;Undirected;0.072005
7;17;Undirected;0.072005
7;18;Undirected;0.072005
7;19;Undirected;0.072005
8;9;Undirected;0.072005
8;10;Undirected;0.072005
8;11;Undirected;0.072005
8;12;Undirected;0.072005
8;13;Undirected;0.072005
8;14;Undirected;0.072005
8;15;Undirected;0.072005
8;16;Undirected;0.072005
8;17;Undirected;0.072005
8;18;Undirected;0.072005
8;19;Undirected;0.072005
9;10;Undirected;0.055104
9;11;Undirected;0.071624
9;12;Undirected;0.070760
9;13;Undirected;0.083545
9;14;Undirected;0.044533
9;15;Undirected;0.081501
9;16;Undirected;0.071137
9;17;Undirected;0.072414
9;18;Undirected;0.072000
9;19;Undirected;0.071908
10;11;Undirected;0.072005
10;12;Undirected;0.072005
10;13;Undirected;0.072005
10;14;Undirected;0.072005
10;15;Undirected;0.072005
10;16;Undirected;0.072005
10;17;Undirected;0.072005
10;18;Undirected;0.072181
10;19;Undirected;0.072005
11;12;Undirected;1.000000
11;13;Undirected;0.187431
11;14;Undirected;0.072159
11;15;Undirected;0.072469
11;16;Undirected;0.072005
11;17;Undirected;0.072017
11;18;Undirected;0.072005
11;19;Undirected;0.071414
12;13;Undirected;0.178106
12;14;Undirected;0.071650
12;15;Undirected;0.073705
12;16;Undirected;0.072005
12;17;Undirected;0.072013
12;18;Undirected;0.072005
12;19;Undirected;0.080214
13;14;Undirected;0.111171
13;15;Undirected;0.062607
13;16;Undirected;0.072831
13;17;Undirected;0.081476
13;18;Undirected;0.072005
13;19;Undirected;0.071228
14;15;Undirected;0.072005
14;16;Undirected;0.072005
14;17;Undirected;0.072005
14;18;Undirected;0.072005
14;19;Undirected;0.072005
15;16;Undirected;0.071558
15;17;Undirected;0.068052
15;18;Undirected;0.072005
15;19;Undirected;0.072531
16;17;Undirected;0.110224
16;18;Undirected;0.072005
16;19;Undirected;0.041865
17;18;Undirected;0.072005
17;19;Undirected;0.067393
18;19;Undirected;0.072005
