#source target weight.
1 2 -0.641095
4 5 3.125441
4 6 -0.875954
5 6 -1.170175
6 7 -0.276135
8 9 1.403684
12 13 2.734978
12 14 0.670539
13 14 0.538686
14 15 -0.042349
14 16 0.480211
14 17 0.029636
15 16 -0.671559
16 17 0.032754
18 19 -0.500015
20 21 2.522211
20 22 1.885464
21 22 2.824851
24 25 0.375825
26 27 -0.746738
29 30 0.917364
29 31 0.544331
30 31 1.543244
32 33 0.844026
34 35 0.430126
37 38 -0.542866
37 39 0.738296
38 39 -0.282931
40 41 0.722431
40 42 1.102297
41 42 0.491540
43 44 -0.426140
44 45 0.658184
45 46 0.124980
45 47 0.092462
45 48 0.018100
46 47 2.419565
46 48 1.036663
46 49 0.422208
47 48 1.335108
47 49 0.416763
48 49 1.758803
50 51 0.466430
50 52 -0.938513
50 53 0.015254
51 52 -0.908659
51 53 0.744310
51 54 -0.006021
52 53 -0.666189
53 54 0.460869
55 56 -0.710604
58 59 1.101634
58 60 0.107323
58 61 0.070774
58 62 -0.012753
59 60 0.018700
60 61 2.790623
60 62 -0.975285
60 63 1.148227
60 64 0.573269
60 65 -0.405915
61 62 -1.023600
61 63 0.931966
61 64 0.454075
61 65 -0.470646
62 63 -0.843873
62 64 -0.967652
62 65 0.979378
63 64 0.878983
63 65 -0.804363
64 65 -0.845327
66 67 -0.002952
68 69 2.949538
70 71 -0.159331
71 72 1.281089
71 73 1.875847
71 74 0.591228
71 75 0.240698
72 73 2.314270
72 74 0.857862
72 75 0.344086
73 74 0.796645
73 75 0.285768
74 75 0.531342
75 76 0.250403
76 77 0.036452
