#source target weight
1 2 0.000044
1 3 0.005474
1 4 0.012648
1 5 0.042950
1 6 1.683542
1 7 0.000002
1 8 0.025077
1 9 0.247034
1 10 0.000000
1 11 0.000012
1 12 0.000000
1 13 2.034612
1 14 2.007564
1 18 0.018634
2 3 0.043364
2 4 0.000602
2 5 0.200426
2 6 0.253275
2 8 0.000064
2 18 0.292617
3 4 0.362140
3 5 0.809097
3 6 0.000044
3 8 0.004149
3 10 0.006744
3 18 0.000234
4 5 0.132062
4 6 0.034395
4 7 0.000000
4 8 0.000000
5 6 0.254106
5 7 0.000000
5 18 0.000000
6 8 0.000626
9 11 0.524473
9 12 0.737077
9 13 0.210924
9 14 0.004421
9 15 0.495864
9 16 0.000000
9 17 0.000004
9 19 0.105708
11 12 9.320481
11 13 4.205462
11 14 0.000346
11 15 0.287279
11 16 0.000000
11 17 0.005196
12 13 4.529707
12 14 0.000063
12 15 0.536044
12 16 0.000000
12 17 0.005497
13 14 1.742461
13 15 0.000898
13 16 0.000890
13 17 0.096591
13 19 0.000010
15 19 0.000000
