Source Target Weight
0 0 7.3890560989306495
0 1 0.3395539571237562
0 2 -0.2744320036090416
0 3 0.18673874385279443
0 4 0.767521248849899
0 5 -0.20645241606291173
0 6 0.015706540340867964
0 7 0.3645798458110934
0 8 -1.1009645055823
0 9 0.049073847797981116
0 10 0.4121446261434639
0 11 0.3209834688644036
0 12 0.06821615602977434
0 13 1.2562292954294634
0 14 -0.0
0 15 0.0
0 16 0.007668311257441986
0 17 1.6422349450926543
0 18 -0.0
1 1 7.3890560989306495
1 2 0.1561806139209573
1 3 0.19632312900215215
1 4 0.2913860025997791
1 5 -0.3477124184096606
1 6 0.0074681727009822335
1 7 0.044478956955907395
1 8 -1.5107846815639752
1 9 0.04341492768479923
1 10 0.0
1 11 0.0
1 12 0.0
1 13 -0.0
1 14 -0.0
1 15 0.0
1 16 0.0
1 17 0.3888553755847595
1 18 -0.0
2 2 7.3890560989306495
2 3 0.1957834887801564
2 4 -0.5121217824403409
2 5 0.03513288675522904
2 6 -0.011631965249413316
2 7 -0.04675651078517757
2 8 -0.0
2 9 -0.028546071037728243
2 10 0.0
2 11 0.0
2 12 0.0
2 13 -0.0
2 14 0.0
2 15 -0.0
2 16 -0.0
2 17 -0.021525749852778244
2 18 0.0
3 3 7.3890560989306495
3 4 0.2203382931013931
3 5 -0.04822801771234431
3 6 0.03702002191464768
3 7 0.0664005922970612
3 8 -1.0445507816635262
3 9 0.06663426632021299
3 10 0.0
3 11 0.0
3 12 0.0
3 13 -0.0
3 14 -0.0
3 15 0.0
3 16 0.0
3 17 0.07626091760662906
3 18 -0.0
4 4 7.3890560989306495
4 5 -0.17421517609540335
4 6 0.021381949172505074
4 7 0.06352469428657634
4 8 -0.0
4 9 7.58849024506796E-4
4 10 0.0
4 11 0.0
4 12 -0.0
4 13 0.0
4 14 -0.0
4 15 0.0
4 16 0.0
4 17 1.8242441181170472
4 18 -0.0
5 5 7.3890560989306495
5 6 -0.033864895719517396
5 7 -0.23506965118496212
5 8 0.0
5 9 -0.0
5 10 0.0
5 11 0.0
5 12 0.0
5 13 -0.0
5 14 0.0
5 15 -0.0
5 16 -0.0
5 17 -0.0013192398170209136
5 18 0.0
6 6 7.3890560989306495
6 7 0.025854993675538483
6 8 -0.0
6 9 0.0
6 10 0.0
6 11 0.0
6 12 0.0
6 13 0.0
6 14 -0.0
6 15 0.0
6 16 0.0
6 17 0.0
6 18 -0.0
7 7 7.3890560989306495
7 8 -0.0
7 9 0.0
7 10 0.0
7 11 0.0
7 12 0.0
7 13 0.0
7 14 -0.0
7 15 0.0
7 16 0.0
7 17 0.0
7 18 -0.0
8 8 7.3890560989306495
8 9 -0.07573277982667427
8 10 0.6966715875638388
8 11 0.5582823634993057
8 12 -0.43800538984203663
8 13 -0.03170831828005789
8 14 1.61042561133167
8 15 -0.015208746500284743
8 16 -0.0415045853538079
8 17 -2.0082536762266687
8 18 1.7816185982151798
9 9 7.3890560989306495
9 10 0.0
9 11 0.0
9 12 0.0
9 13 0.0
9 14 -0.0
9 15 0.0
9 16 0.0
9 17 0.00760044287364323
9 18 -0.0
10 10 7.3890560989306495
10 11 5.493462612293424
10 12 0.7492863038707499
10 13 0.6623246301075549
10 14 0.5760169057755384
10 15 0.007702839752497868
10 16 0.01077787963978651
10 17 0.0
10 18 1.280215190957075
11 11 7.3890560989306495
11 12 0.6971246904042073
11 13 0.5292832191676692
11 14 0.47775626293388024
11 15 0.006633392253740205
11 16 0.008925276225668414
11 17 0.0
11 18 1.0514348687940254
12 12 7.3890560989306495
12 13 -0.763517988047929
12 14 -0.031147272596999637
12 15 0.0016210970724940866
12 16 0.012139665485622335
12 17 0.0
12 18 0.07190932307658057
13 13 7.3890560989306495
13 14 -0.0
13 15 0.0
13 16 0.0019584199588930373
13 17 0.0
13 18 -0.0
14 14 7.3890560989306495
14 15 -0.048799858248940786
14 16 -0.1932994008885295
14 17 -0.0
14 18 1.0448148476450216
15 15 7.3890560989306495
15 16 0.5893443086939939
15 17 0.0
15 18 -0.09164207513102884
16 16 7.3890560989306495
16 17 0.0
16 18 -0.4997627996621933
17 17 7.3890560989306495
17 18 -0.0
18 18 7.3890560989306495
